polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,45,96.9%,0.9153664302600473,0.02808351926452945,competition for cable companies and an end to heir price gouging.
2,2,97.0%,0.914629258517034,0.0623524189707646,Impact on traffic flow should be considered with any proposed new developments.
3,30,96.8%,0.914410532855053,0.033482483205296024,Bowling Green needs more competitive internet rates.
4,260,98.0%,0.9083333333333333,0.0026833999852880824,The area of downtown and the riverfront should continue to be developed for entertainment and recreation for both day and night activities.
5,16,96.0%,0.9030142974228212,0.042836470749211306,Bowling Green needs more competitive cable rates.
6,186,96.8%,0.9009910425004765,0.006280899400810369,We need a fiber option for internet.
7,259,97.3%,0.9000000000000001,0.0027677485536120356,More citizens need to be involved in the future development of BG. Too many developers who benefit financially are calling the shots.
8,4,95.5%,0.8898172905525847,0.05406038212349392,"Traffic flow needs to be improved throughout Bowling Green, especially on Scottsville Road."
9,23,95.7%,0.8896256389004006,0.03771616851738967,City/County officials with connections to a project or proposal should abstain from voting on the project or proposal.
10,5,96.0%,0.8880825057295645,0.05355453717184268,"More choices when it comes to internet.  BGMU has been offering service to businesses for a while, they should expand to offer to residents."
11,10,95.4%,0.8850353243416827,0.04871674582123229,Something needs to be done to improve traffic flow
12,52,95.4%,0.8809418690213393,0.025116607318686313,"When resurfacing a roadway, attention should be given to making the manhole covers level with the new surface."
13,194,95.3%,0.8703254006799418,0.00585425704918638,When the city tears up lawns with projects they should be required to do what it takes so that lawns are same quality they were before.
14,25,93.9%,0.8693989071038252,0.036441087749494304,Downtown redevelopment should retain accessible parking for existing businesses.
15,9,94.8%,0.8646447958461175,0.04906216525826404,The city should actually time stoplights correctly during rush hour to prevent complete gridlock
16,143,95.3%,0.8570754716981132,0.011277408204142962,"Mandatory, expensive fines should be implemented for littering and illegal dumping."
17,38,94.2%,0.8506538761119993,0.030012549349808734,We need to promote competition in town for Charter. AT&T isn't much better and doesn't serve everywhere. Need more fiber to the homes.
18,169,92.6%,0.8504761904761904,0.0077021432657402,Actually teach HS students useful things.
19,120,93.0%,0.8376145217912493,0.013659138688923433,"Bowling Green is an excellent place to raise a family, shop, worship, get an education, and recreate. I feel safe in most places here in BG."
20,18,93.5%,0.8346905912123302,0.04055862243468654,New developments should not be approved unless roads and infrastructure capable of handling them are in place.
21,14,94.1%,0.8344073219733611,0.044684631635076535,"All students in Warren county should have the best available education, not the Kentucky minimum, at all times."
22,58,94.1%,0.8339250493096647,0.024085795788345056,We need to grow the internet infrastructure particularly in growing areas of the county like Alvaton.
23,31,94.4%,0.8321959755030621,0.03320389992957708,City/county officials should disclose to the public via Daily News all connections they have to a project or proposal well before the vote.
24,159,93.9%,0.8315230961298377,0.008664382141724644,Recruit and retain the best k-13 teachers graduating from WKU
25,62,94.1%,0.8173318753417168,0.023370041779418156,Individuals should be treated equally. Higher positions or who you work for should not release anyone from responsibility of their actions.
26,60,91.5%,0.8093851132686084,0.023722499577669975,New developments should help pay to widen the roads in the areas where they are increasing traffic.
27,180,90.8%,0.804031879981247,0.006735495624713865,The city of Bowling Green should enforce their existing noise ordinance.
28,285,93.4%,0.8026852073843204,0.002107176296350362,Fines and other enforcement actions should be taken against landlords who don't keep up with their properties.
29,231,92.8%,0.802079168332667,0.003861000922578332,Require businesses to pick up litter they and their customers generate.
30,342,93.1%,0.8019925280199253,0.0011820694055302053,Insist that schools at all levels have daily physical activity  for all students to help combat the childhood obesity crisis.
31,187,92.6%,0.797838412473423,0.006272081849388927,Increase Internet/Cell/Phone service throughout the county.  First deal with areas that currently don't have any option.
32,195,93.7%,0.7971923536439666,0.005769856912751886,animal cruelty laws need to exist and be enforced
33,404,92.4%,0.7936507936507936,0.0006831646991554752,"How is it that surrounding counties have county wide high speed internet, yet one third of Warren County residents have slow or no internet?"
34,217,91.7%,0.7870083959346001,0.004763171537268322,We need to carefully preserve agricultural land
35,197,91.8%,0.7852474323062558,0.005545329386107199,"BGMU needs to offer residential fiber internet as a UTILITY, using Chattanooga as a perfect example."
36,245,90.8%,0.7834821428571428,0.0032821992193630104,"Traffic congestion is a major problem, so studying traffic flow closely is the first step."
37,70,91.7%,0.782093498977199,0.021897209065774057,Our city should make a bid for Google Fiber to help compete with Spectrum and AT&T.
38,20,92.6%,0.7820034799900571,0.03946958777372067,We need jobs to attract our own college educated students so they don’t leave to get better paying jobs
39,132,90.4%,0.7819027484143762,0.012015967309042525,Traffic congestion on Fairview Ave and Cemetery Rd needs to be improved during evening rush hours.
40,358,91.5%,0.7788461538461539,0.000981760590468316,We need faster internet service.
41,320,91.9%,0.777327935222672,0.0014205329623335314,"Do SOMETHING about completing the ""wrap"" downtown, or at least enhance (and that includes restaurant service) what is currently there."
