polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
804,481,61.8%,0.2616279069767442,0.00016752013890490667,"Europäschisches verflochtenes Stromnetz entkoppeln, lokal Strom erzeugen, sparsam verbrauchen"
805,453,55.9%,0.25910931174089064,0.00022099703000110762,"1970 haben wir in Österreich nur den halben Strom gebraucht, jeder hatte alles."
806,72,76.4%,0.2576975709887102,0.010294526229179694,Bei Neubau und Sanierung: immer nach Null-Energie- bzw. Passiv-Haus-Standard bauen!
807,585,51.6%,0.25757575757575757,3.789182453787182e-05,"Produkte und Dienstleistungen, die das Klima belasten, sollen einen deutlich höheren Preis haben als klimafreundliche Produkte und Dienstleistungen."
808,220,62.1%,0.25641025641025644,0.0012794875739487353,Kleinwindräder sollten auf eigenem Haus / Grund ohne Ansuchen  möglich sein.
809,556,64.7%,0.2564102564102564,6.941432123976253e-05,"Alle Haushalte sollen ein Schreiben erhalten, wann Bei Ihnen eine energieberatung statt findet. Wem das nicht passt, soll absagen"
810,610,50.0%,0.2525252525252525,1.3092498174465378e-05,Verbot für Klimaanlagen nördlich des 40. Breitengrades.
842,831,100.0%,0.25,0.0,"Fossile Energie stärker besteuern, erneuerbare Energien niedriger besteuern"
842,831,100.0%,0.25,0.0,"Wer über 4000,00€ Netto / Mo verdient sind die Wohlhabendste die besteuert werden sollen um das Klima zu helfen."
842,831,100.0%,0.25,0.0,Verbot von allen Fassadenbeleuchtungen von Häusern
842,831,100.0%,0.25,0.0,"Die kalte Progression abschaffen. Nur Almosen (z.B. Klimabonus, und das für kurze Zeit) bringen nicht viel."
842,831,100.0%,0.25,0.0,"Wir müssen Energie sparen, wo es möglich ist. Anders werden wir die Klimaerwärmung nicht stoppen."
842,831,100.0%,0.25,0.0,Zeitgleich soll es mehr klimafreundliche Produkte und Dienstleistungentungen am Markt gehen und dies gehört zu unserem Gemeinwohl gefördert
842,831,100.0%,0.25,0.0,Anbringung von PV-Paleelen entlang kilometerlanger Lärmschutzwände.
842,831,100.0%,0.25,0.0,"Reduktion des Gesamtenergieverauches: rethink, reconsider, reduce,"
842,831,100.0%,0.25,0.0,Total raus auf fossiler Energie in allen Bereichen bis 2035
842,831,100.0%,0.25,0.0,"Energie Positiv für alle neuen Bauten, nur noch nachhaltige Baumaterialien erlaubt."
842,831,100.0%,0.25,0.0,Zuerst Dämmung aller Häuser verpflichtend zu Energie klasse B bis 2030 und dann Austausch aller Heizsysteme zu erneuerbaren bis 3035
842,831,100.0%,0.25,0.0,Verbaute Flächen mit Photovoltaik ausstatten
842,831,100.0%,0.25,0.0,"Nachhaltige Energiemaßnahmen wie Isolierung, Heizungstausch, Umstieg auf erneuerbare Energie/Begrünung versiegelten Flächen fördern"
842,831,100.0%,0.25,0.0,"Solange wir , die ohne Parteibücher; unsere Guten Ideen nicht verwirklichen dürfen nur weil wir Die gehabt haben.. ändert sich nichts."
842,831,100.0%,0.25,0.0,Als es noch keine Menschen gab war das Klima immer ein auf und ab. Sagen Sie nicht das wir jetzt die schuldige sind!!!!!!!!!!!!!!!!!
842,831,100.0%,0.25,0.0,Es bleibt sehr viel Holz ungenüzt im Wald liegen. Besser wir verheizen Holz als Gas.
842,831,100.0%,0.25,0.0,Strom aus nachhaltiger Produktion mit niedrigeren Steuern versehen
842,831,100.0%,0.25,0.0,Allein die Kompensierung unseres Energieverbrauches durch erneuerbare Energie ist zu wenig. Wir müssen  unseren Energieverbrauch reduzieren.
842,831,100.0%,0.25,0.0,HYDROSOLARKRAFTWERK HYDROSOLARKRAFTWERK HYDROSOLARKRAFTWERK HYDROSOLARKRAFTWERK HYDROSOLARKRAFTWERK HYDROSOLARKRAFTWERK HYDROSOLARKRAFTWERK
842,831,100.0%,0.25,0.0,Hydrosolarkraftwerke eine Kombination von Solar und Speicherkraftwerken
842,831,100.0%,0.25,0.0,Synthetische Kraftstoffe müssen mehr gefördert werden (ins. auch im Bereich der Forschung)?
842,831,100.0%,0.25,0.0,"Ich bin der Ansicht,wir brauchen Speicher für Strom....wie sonst können wir die Versorgung aufrecht erhalten Hydrosolarkraftwerk wäre sowas!"
842,831,100.0%,0.25,0.0,Manche Stromlieferanten lassen nur noch Photovoltaig - Großanlagen in ihr Netz einspeisen. Energielieferanten gehören dazu verpflichtet.
842,831,100.0%,0.25,0.0,HYDROSOLARKRAFTWERK: vereint alle Vorteile aus der Sonnen- und Wasserkraft; setzn wir doch endlich dieses System in Österreich um!!
842,831,100.0%,0.25,0.0,"Ein Hydrosolarkraftwerk könnte einen wesentlichen Teil zur Problemlösung beitragen. Ein derartiges Projekt, gibt es bereits Schubladenfertig"
842,831,100.0%,0.25,0.0,HYDROSOLARKRAFTWERK
842,831,100.0%,0.25,0.0,"Alte Kleinkraftwerke reaktivieren, die wegen Zwentendorf zum Schließen (finanziell) überredet wurden. Energiegemeinschaften für Wasserkraft"
842,831,100.0%,0.25,0.0,Spielplätze in Parks und Bäderbecken in öffentlichen Bädern könnten mit Voltaikanlagen als Beschattung in 5 Meter Höhe überdacht werden
842,831,100.0%,0.25,0.0,"Um aus volatiler Solarenergie bedarfsorientierten Strom zu machen, der dann da, ist wenn man ihn braucht, dient ein Hydrosolarkraftwerk."
842,831,100.0%,0.25,0.0,"Wir brauchen Hydrosolar,Wind und PV Freiflächen Enmasse,Defossilisierung bedeutet 3000 WKA und 1000 km² PV Freifläche,schnelle Verfahren usw"
842,831,100.0%,0.25,0.0,"Ich kann mich nicht durch 100e Einzelvorschläge durchhanteln, ohne Überblick, ohne System."
842,831,100.0%,0.25,0.0,Raumtemperatur in öffentilchen Gebäuden reduzieren
842,831,100.0%,0.25,0.0,Bewusstsein für den Energieverbrauch des Internets erhöhen.
842,831,100.0%,0.25,0.0,Straßenbeleuchtungen und andere nicht notwendige Beleuchtungen zwischen 0.00 und 5.00 reduzieren.
842,831,100.0%,0.25,0.0,Erneuerbare Energie ist endlich und nicht immer zur Verfügung. Den Energiebedarf auf minimalen Verbrauch je Tätigkeit ausrichten.
842,831,100.0%,0.25,0.0,Die gesetzliche Pflicht zur Umstellung auf ein nachhaltiges Heizsystem eventuell noch vor 2035 setzen.
842,831,100.0%,0.25,0.0,"Viel mehr Nutzung von Solarenergie, sowohl thermisch als auch Photovoltaik"
842,831,100.0%,0.25,0.0,Hydrosolarkraftwerke Pumpspeicherseen kombiniert mit PV-Anlagen
842,831,100.0%,0.25,0.0,Metathema: Klimaschutz soll ein Grundrecht sein und in der Verfassung verankert
842,831,100.0%,0.25,0.0,"Ausbau der Speicher-Wasserkraft in Kombination mit Solar, insbesondere das Hydrosolarkraftwerk."
842,831,100.0%,0.25,0.0,"pro nation/region ein konzept transparent entwickeln (für die bevölkerung einsehbar machen) ->bis wann wasserkraft,wind/biogas/photo- ausbau"
842,483,44.4%,0.25,0.0001648089775634421,Verbrennungsmotoren können mit hochwertigen Filtern aufgerüstet werden. Ist technisch alles möglich u nicht teuer
842,831,100.0%,0.25,0.0,"Weg mit der Lichtverschmutzunģ.  Beleuchtung redutieren ab 22Uhr, nicht die ganzexNacht, Bewegungsmelder"
842,831,100.0%,0.25,0.0,"Bei vielen alten Klimaanlagen in Spitälern,sind die Zuluftltg.zu den Zimmern voller MULTIRESISTENTER KEIME,+töten Kranke."
842,831,100.0%,0.25,0.0,"Auch Baumaschinen, Traktoren, Landmaschinen etc. sollten umweltfreundlich unterwegs sein (z.B. Elektronantrieb, Biodiesel etc.)"
842,831,100.0%,0.25,0.0,Nur mehr E-Busse im öffentlichen Verkehr in allen Orten und Städten.
842,831,100.0%,0.25,0.0,Ersatz bestehender Einrichtungen (z.B. mechanisches Stellwerk) bei Zügen durch neue Technologie (digitales Stellwerk).
842,831,100.0%,0.25,0.0,Gratisparken für E-Autos. Benzin- und Dieselautos müssen zahlen für das Parken.
842,831,100.0%,0.25,0.0,"ÖNorm f. Beleuchtung von Innenhöfen u.ä. ändern, Beleuchtung öffentlicher Flächen  reduzieren: Lichtverschmutzung und Stromverbrauch senken!"
842,831,100.0%,0.25,0.0,Bin dafür
842,831,100.0%,0.25,0.0,Reklame und Kaufhausbeleuchtung zeitlich beschränken
842,831,100.0%,0.25,0.0,Klimaschutz kann nicht von oben diktiert werden! Subsidiaritätsprinzip. Länder und Gemeinden dürfen nicht vom Bund entmachtet werden!
842,831,100.0%,0.25,0.0,"Maßnahmen zum Energiesparen werden von der Politik ignoriert, anstatt werden neue Kraftwerke und Windräder gebaut, als gäbe es kein Morgen!!"
